period,provider_name,provider_name_raw,encounter_count,total_wrvu,shifts_worked,hours_worked,location
2023-01,"Aldridge, Marcus","Aldridge, Marcus",92,320.68,,,CCD
2023-01,"Beckett, James","Beckett, James",61,197.45,,,CCD
2023-01,"Carver, Elena","Carver, Elena",48,177.891,,,CCD
2023-01,"Chen, David","Chen, David",107,366.75,,,CCD
2023-01,"Cheng, Michelle","Cheng, Michelle",115,375.13,,,CCD
2023-01,"Cordova, Isabel","Cordova, Isabel",55,196.51,,,CCD
2023-01,"Daley, Kevin","Daley, Kevin",99,327.47,,,CCD
2023-01,"Denton, Rachel","Denton, Rachel",121,410.92,,,CCD
2023-01,"Devlin, Sean","Devlin, Sean",177,591.04,,,CCD
2023-01,"Donovan, Laura","Donovan, Laura",153,497.44,,,CCD
2023-01,"Garrett, Steven","Garrett, Steven",31,125.0,,,CCD
2023-01,"Graves, Anya","Graves, Anya",44,148.3,,,CCD
2023-01,"Griffin, Jonathan","Griffin, Jonathan",46,174.4,,,CCD
2023-01,"Hale, Samantha","Hale, Samantha",112,380.29,,,CCD
2023-01,"Hammond, Derek","Hammond, Derek",128,466.2605,,,CCD
2023-01,"Harmon, Julia","Harmon, Julia",188,508.53,,,CCD
2023-01,"Hassan, Omar","Hassan, Omar",168,631.15,,,CCD
2023-01,"Henderson, Paul","Henderson, Paul",44,158.36,,,CCD
2023-01,"Hoffman, Andrea","Hoffman, Andrea",10,30.96,,,CCD
2023-01,"Holloway, Timothy","Holloway, Timothy",110,348.96,,,CCD
2023-01,"Hudson, Gregory","Hudson, Gregory",229,712.23,,,CCD
2023-01,"Hughes, Nadia","Hughes, Nadia",59,201.6,,,CCD
2023-01,"Jordan, Matthew","Jordan, Matthew",145,466.35,,,CCD
2023-01,"Kaufman, Rebecca","Kaufman, Rebecca",145,459.91,,,CCD
2023-01,"Kimura, Leslie","Kimura, Leslie",184,613.575,,,CCD
2023-01,"Lawson, Charles","Lawson, Charles",144,498.94,,,CCD
2023-01,"Lim, Angela","Lim, Angela",150,509.68,,,CCD
2023-01,"Logan, Benjamin","Logan, Benjamin",112,356.0,,,CCD
2023-01,"Manning, Carolyn","Manning, Carolyn",145,445.99,,,CCD
2023-01,"McCoy, Ethan","McCoy, Ethan",211,665.09,,,CCD
2023-01,"Monroe, Brian","Monroe, Brian",162,559.33,,,CCD
2023-01,"Morton, Andrew","Morton, Andrew",145,484.5,,,CCD
2023-01,"Nash, Vanessa","Nash, Vanessa",193,662.18,,,CCD
2023-01,"Oliver, Jason","Oliver, Jason",63,200.7,,,CCD
2023-01,"Park, Jennifer","Park, Jennifer",22,78.09,,,CCD
2023-01,"Patel, Rahul","Patel, Rahul",50,136.32,,,CCD
2023-01,"Quinn, Robert","Quinn, Robert",40,131.51,,,CCD
2023-01,"Reyes, Diana","Reyes, Diana",26,82.06,,,CCD
2023-01,"Robinson, Tanya","Robinson, Tanya",79,258.59,,,CCD
2023-01,"Santos, Marisol","Santos, Marisol",208,726.86,,,CCD
2023-01,"Sato, Hiroshi","Sato, Hiroshi",114,302.355,,,CCD
2023-02,"Aldridge, Marcus","Aldridge, Marcus",55,193.04,,,CCD
2023-02,"Beckett, James","Beckett, James",81,240.75,,,CCD
2023-02,"Carver, Elena","Carver, Elena",83,282.62,,,CCD
2023-02,"Chen, David","Chen, David",97,357.73,,,CCD
2023-02,"Cheng, Michelle","Cheng, Michelle",157,536.36,,,CCD
2023-02,"Cordova, Isabel","Cordova, Isabel",59,211.94,,,CCD
2023-02,"Daley, Kevin","Daley, Kevin",82,272.04,,,CCD
2023-02,"Denton, Rachel","Denton, Rachel",129,420.4957,,,CCD
2023-02,"Devlin, Sean","Devlin, Sean",96,271.22,,,CCD
2023-02,"Donovan, Laura","Donovan, Laura",122,377.1205,,,CCD
2023-02,"Farley, Christopher","Farley, Christopher",11,40.34,,,CCD
2023-02,"Garrett, Steven","Garrett, Steven",30,96.25,,,CCD
2023-02,"Graves, Anya","Graves, Anya",86,286.39,,,CCD
2023-02,"Griffin, Jonathan","Griffin, Jonathan",58,197.82,,,CCD
2023-02,"Hale, Samantha","Hale, Samantha",82,273.36,,,CCD
2023-02,"Hammond, Derek","Hammond, Derek",131,467.0515,,,CCD
2023-02,"Harmon, Julia","Harmon, Julia",159,458.85,,,CCD
2023-02,"Hassan, Omar","Hassan, Omar",170,660.61,,,CCD
2023-02,"Henderson, Paul","Henderson, Paul",74,251.54,,,CCD
2023-02,"Holloway, Timothy","Holloway, Timothy",92,320.09,,,CCD
2023-02,"Hudson, Gregory","Hudson, Gregory",207,627.85,,,CCD
2023-02,"Hughes, Nadia","Hughes, Nadia",86,321.72,,,CCD
2023-02,"Jordan, Matthew","Jordan, Matthew",174,513.43,,,CCD
2023-02,"Kaufman, Rebecca","Kaufman, Rebecca",133,439.6,,,CCD
2023-02,"Kimura, Leslie","Kimura, Leslie",253,884.8425,,,CCD
2023-02,"Lawson, Charles","Lawson, Charles",114,375.54,,,CCD
2023-02,"Lim, Angela","Lim, Angela",106,353.8157,,,CCD
2023-02,"Logan, Benjamin","Logan, Benjamin",151,467.28,,,CCD
2023-02,"Manning, Carolyn","Manning, Carolyn",75,244.9,,,CCD
2023-02,"McCoy, Ethan","McCoy, Ethan",163,551.67,,,CCD
2023-02,"Monroe, Brian","Monroe, Brian",214,690.68,,,CCD
2023-02,"Morton, Andrew","Morton, Andrew",79,273.24,,,CCD
2023-02,"Oliver, Jason","Oliver, Jason",177,621.06,,,CCD
2023-02,"Quinn, Robert","Quinn, Robert",22,76.56,,,CCD
2023-02,"Reyes, Diana","Reyes, Diana",26,89.41,,,CCD
2023-02,"Robinson, Tanya","Robinson, Tanya",71,222.76,,,CCD
2023-02,"Santos, Marisol","Santos, Marisol",213,758.26,,,CCD
2023-02,"Sato, Hiroshi","Sato, Hiroshi",130,347.67,,,CCD
2023-03,"Aldridge, Marcus","Aldridge, Marcus",58,210.53,,,CCD
2023-03,"Beckett, James","Beckett, James",76,261.32,,,CCD
2023-03,"Carver, Elena","Carver, Elena",117,389.1005,,,CCD
2023-03,"Chen, David","Chen, David",131,463.6,,,CCD
2023-03,"Cheng, Michelle","Cheng, Michelle",77,256.59,,,CCD
2023-03,"Cordova, Isabel","Cordova, Isabel",73,245.26,,,CCD
2023-03,"Daley, Kevin","Daley, Kevin",158,499.42,,,CCD
2023-03,"Denton, Rachel","Denton, Rachel",138,449.15,,,CCD
2023-03,"Devlin, Sean","Devlin, Sean",222,762.94,,,CCD
2023-03,"Donovan, Laura","Donovan, Laura",194,600.6905,,,CCD
2023-03,"Farley, Christopher","Farley, Christopher",45,165.94,,,CCD
2023-03,"Garrett, Steven","Garrett, Steven",33,110.63,,,CCD
2023-03,"Graves, Anya","Graves, Anya",67,213.48,,,CCD
2023-03,"Griffin, Jonathan","Griffin, Jonathan",64,218.7,,,CCD
2023-03,"Hale, Samantha","Hale, Samantha",118,367.41,,,CCD
2023-03,"Hammond, Derek","Hammond, Derek",176,618.171,,,CCD
2023-03,"Harmon, Julia","Harmon, Julia",166,501.41,,,CCD
2023-03,"Hassan, Omar","Hassan, Omar",225,875.86,,,CCD
2023-03,"Henderson, Paul","Henderson, Paul",59,204.28,,,CCD
2023-03,"Holloway, Timothy","Holloway, Timothy",114,352.97,,,CCD
2023-03,"Hudson, Gregory","Hudson, Gregory",222,697.93,,,CCD
2023-03,"Hughes, Nadia","Hughes, Nadia",26,80.02,,,CCD
2023-03,"Jordan, Matthew","Jordan, Matthew",153,440.54,,,CCD
2023-03,"Kaufman, Rebecca","Kaufman, Rebecca",131,442.18,,,CCD
2023-03,"Kimura, Leslie","Kimura, Leslie",211,670.6325,,,CCD
2023-03,"Lawson, Charles","Lawson, Charles",139,441.26,,,CCD
2023-03,"Lim, Angela","Lim, Angela",121,375.53,,,CCD
2023-03,"Logan, Benjamin","Logan, Benjamin",114,359.38,,,CCD
2023-03,"Manning, Carolyn","Manning, Carolyn",126,411.84,,,CCD
2023-03,"McCoy, Ethan","McCoy, Ethan",212,733.67,,,CCD
2023-03,"Monroe, Brian","Monroe, Brian",249,718.04,,,CCD
2023-03,"Morton, Andrew","Morton, Andrew",116,414.48,,,CCD
2023-03,"Oliver, Jason","Oliver, Jason",131,429.29,,,CCD
2023-03,"Ortega, Carmen","Ortega, Carmen",177,621.41,,,CCD
2023-03,"Park, Jennifer","Park, Jennifer",14,50.05,,,CCD
2023-03,"Quinn, Robert","Quinn, Robert",40,138.68,,,CCD
2023-03,"Reyes, Diana","Reyes, Diana",53,170.86,,,CCD
2023-03,"Robinson, Tanya","Robinson, Tanya",71,210.56,,,CCD
2023-03,"Santos, Marisol","Santos, Marisol",220,787.47,,,CCD
2023-03,"Sato, Hiroshi","Sato, Hiroshi",170,501.72,,,CCD
2023-04,"Aldridge, Marcus","Aldridge, Marcus",55,215.86,,,CCD
2023-04,"Beckett, James","Beckett, James",60,196.48,,,CCD
